epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,984.403,1.21459,0.70986,1.2933,0.94751,0.97575,0.98215,0.58092,1.53816,0.56696,1.54186,0.000712282,0.000712282,0.000712282
86,996.389,1.13895,0.62699,1.26696,0.93031,0.9622,0.98173,0.56044,1.63436,0.56735,1.60714,0.000639518,0.000639518,0.000639518
87,1007.61,1.21801,0.64548,1.29844,0.96299,0.93755,0.98305,0.54366,1.70729,0.56894,1.6546,0.000571106,0.000571106,0.000571106
88,1019.49,1.16769,0.62844,1.27057,0.94194,0.96396,0.97948,0.54723,1.68518,0.56716,1.63734,0.000507115,0.000507115,0.000507115
89,1030.36,1.19534,0.66871,1.29269,0.9403,0.96396,0.97862,0.54929,1.65834,0.56571,1.62347,0.000447606,0.000447606,0.000447606
90,1036.06,1.21586,0.69762,1.30275,0.93832,0.96396,0.97852,0.55498,1.61276,0.55457,1.5992,0.00039264,0.00039264,0.00039264
91,1070.42,1.11348,0.58565,1.34213,0.95951,0.93694,0.97944,0.55872,1.60777,0.55532,1.59856,0.00034227,0.00034227,0.00034227
92,1089,1.12263,0.53907,1.29629,0.96647,0.93694,0.97776,0.54799,1.63826,0.55944,1.61713,0.000296546,0.000296546,0.000296546
93,1101.56,1.09455,0.53377,1.31199,0.96974,0.93694,0.97675,0.54524,1.6476,0.56435,1.62081,0.000255513,0.000255513,0.000255513
94,1113.21,1.13019,0.52767,1.31138,0.96299,0.93775,0.97618,0.553,1.6294,0.56233,1.60275,0.000219212,0.000219212,0.000219212
95,1124.67,1.12454,0.53392,1.32535,0.97178,0.93062,0.97794,0.5652,1.59255,0.54759,1.57496,0.000187678,0.000187678,0.000187678
96,1136.8,1.10682,0.51807,1.32087,0.96595,0.92793,0.98075,0.57188,1.56496,0.53601,1.55641,0.000160943,0.000160943,0.000160943
97,1149.49,1.10231,0.51542,1.31255,0.96014,0.92793,0.98133,0.57215,1.56237,0.53253,1.55429,0.000139032,0.000139032,0.000139032
98,1159.24,1.08843,0.51348,1.32289,0.9323,0.97297,0.98281,0.57482,1.57108,0.53271,1.5609,0.000121968,0.000121968,0.000121968
99,1173.74,1.10131,0.50155,1.32236,0.94654,0.957,0.9834,0.57153,1.58701,0.53389,1.57274,0.000109768,0.000109768,0.000109768
100,1188.4,1.06435,0.50522,1.29736,0.95663,0.95495,0.9837,0.56416,1.60866,0.53762,1.58827,0.000102443,0.000102443,0.000102443
