epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4936.49,0.90585,0.47394,1.09424,0.97079,0.89814,0.97963,0.63001,1.21596,0.56183,1.47687,0.0008318,0.0008318,0.0008318
61,4999.37,0.92322,0.48279,1.10521,0.91086,0.96396,0.9744,0.66687,1.17371,0.53579,1.44601,0.000812,0.000812,0.000812
62,5062.42,0.93218,0.46473,1.09481,0.96206,0.9138,0.9585,0.62076,1.26648,0.6197,1.5109,0.0007922,0.0007922,0.0007922
63,5126.45,0.94168,0.46308,1.1223,0.88859,0.96396,0.9749,0.66144,1.19238,0.53782,1.45985,0.0007724,0.0007724,0.0007724
64,5188.46,0.91599,0.47041,1.10236,0.93807,0.94595,0.98134,0.66831,1.22414,0.54236,1.48056,0.0007526,0.0007526,0.0007526
65,5249.59,0.89829,0.47522,1.0809,0.95485,0.96396,0.9823,0.66242,1.25078,0.51826,1.50207,0.0007328,0.0007328,0.0007328
66,5311.05,0.88634,0.43809,1.07911,0.93261,0.95495,0.97918,0.6591,1.24106,0.52853,1.52018,0.000713,0.000713,0.000713
67,5374.31,0.9149,0.45821,1.09521,0.94485,0.95495,0.97579,0.66036,1.1813,0.50017,1.44868,0.0006932,0.0006932,0.0006932
68,5437.03,0.88791,0.45996,1.09208,0.94642,0.98198,0.97941,0.65402,1.19469,0.51981,1.49006,0.0006734,0.0006734,0.0006734
69,5495.94,0.85315,0.43465,1.06682,0.94885,0.96396,0.98144,0.66077,1.17938,0.516,1.47996,0.0006536,0.0006536,0.0006536
70,5556.81,0.86798,0.44768,1.06293,0.91665,0.92793,0.96937,0.65522,1.19506,0.59151,1.45298,0.0006338,0.0006338,0.0006338
71,5614.28,0.89042,0.46651,1.0894,0.92627,0.93694,0.98239,0.65722,1.2462,0.51404,1.51041,0.000614,0.000614,0.000614
72,5672.74,0.892,0.44202,1.0993,0.94716,0.96896,0.98578,0.67648,1.16683,0.50704,1.45103,0.0005942,0.0005942,0.0005942
73,5737.43,0.86258,0.44073,1.06064,0.94346,0.97297,0.98331,0.67307,1.16304,0.49354,1.45751,0.0005744,0.0005744,0.0005744
74,5801.28,0.84582,0.4413,1.07685,0.9475,0.97557,0.98176,0.66585,1.15556,0.50267,1.42502,0.0005546,0.0005546,0.0005546
75,5866.99,0.85819,0.45519,1.06347,0.95526,0.96185,0.98219,0.64832,1.22205,0.52222,1.44511,0.0005348,0.0005348,0.0005348
76,5935.79,0.87471,0.44408,1.07819,0.9611,0.96396,0.98011,0.65372,1.18101,0.49897,1.44857,0.000515,0.000515,0.000515
77,6004.18,0.83114,0.41834,1.04392,0.96099,0.96396,0.98061,0.63255,1.25304,0.50336,1.51493,0.0004952,0.0004952,0.0004952
78,6075.59,0.82433,0.43419,1.04553,0.95491,0.95391,0.97259,0.65405,1.19802,0.54,1.44095,0.0004754,0.0004754,0.0004754
79,6149.65,0.81927,0.42563,1.04907,0.93419,0.94595,0.97859,0.6392,1.24413,0.53797,1.53576,0.0004556,0.0004556,0.0004556
80,6219.58,0.83264,0.42729,1.06593,0.94087,0.97297,0.98213,0.67184,1.19525,0.51844,1.43465,0.0004358,0.0004358,0.0004358
81,6290.21,0.79841,0.40452,1.04479,0.95451,0.97297,0.9828,0.65739,1.23794,0.53336,1.53547,0.000416,0.000416,0.000416
82,6357.28,0.75049,0.38556,0.99955,0.96356,0.95291,0.98326,0.65442,1.22282,0.5288,1.48952,0.0003962,0.0003962,0.0003962
83,6426.76,0.797,0.40004,1.05158,0.96082,0.92793,0.98244,0.65801,1.22275,0.52383,1.52499,0.0003764,0.0003764,0.0003764
84,6500.25,0.74961,0.38397,1.02111,0.95349,0.92793,0.97324,0.64597,1.21324,0.56396,1.53444,0.0003566,0.0003566,0.0003566
85,6565.02,0.81511,0.40548,1.04754,0.94979,0.92793,0.97529,0.66603,1.18646,0.56559,1.49565,0.0003368,0.0003368,0.0003368
86,6632.08,0.7533,0.37871,1.02501,0.94723,0.97025,0.98186,0.6697,1.1945,0.53962,1.50467,0.000317,0.000317,0.000317
87,6699.82,0.77864,0.40609,1.06031,0.95484,0.95237,0.97439,0.6678,1.19613,0.56173,1.50108,0.0002972,0.0002972,0.0002972
88,6768.18,0.77326,0.41364,1.04966,0.93,0.96396,0.96825,0.64961,1.18914,0.55899,1.51821,0.0002774,0.0002774,0.0002774
89,6838.01,0.74216,0.3829,1.00295,0.95523,0.96113,0.97073,0.64074,1.18165,0.5513,1.52263,0.0002576,0.0002576,0.0002576
90,6909.1,0.74613,0.39693,1.0151,0.94592,0.94551,0.9691,0.63695,1.21584,0.56635,1.58308,0.0002378,0.0002378,0.0002378
91,6988.6,0.71357,0.33735,1.05716,0.93543,0.93694,0.96011,0.64291,1.17834,0.58026,1.49407,0.000218,0.000218,0.000218
92,7064.62,0.69468,0.33665,1.02542,0.92969,0.92793,0.97046,0.64553,1.23003,0.56314,1.59395,0.0001982,0.0001982,0.0001982
93,7137.01,0.68934,0.33062,1.0097,0.93713,0.93694,0.97776,0.65874,1.21946,0.53043,1.57581,0.0001784,0.0001784,0.0001784
94,7205.96,0.65853,0.30681,1.01322,0.91309,0.97297,0.97995,0.65984,1.18728,0.53865,1.50506,0.0001586,0.0001586,0.0001586
95,7279.57,0.6757,0.319,1.01263,0.91513,0.97143,0.98023,0.6564,1.19751,0.52412,1.53214,0.0001388,0.0001388,0.0001388
96,7349.1,0.67235,0.30584,1.03784,0.91779,0.95495,0.97963,0.64617,1.22346,0.52877,1.56926,0.000119,0.000119,0.000119
97,7417.64,0.63805,0.31275,1.00456,0.92241,0.96391,0.97846,0.65108,1.20923,0.52537,1.54042,9.92e-05,9.92e-05,9.92e-05
98,7491.42,0.63144,0.30158,1.00474,0.91443,0.96277,0.97867,0.64676,1.20643,0.54501,1.52892,7.94e-05,7.94e-05,7.94e-05
99,7558.34,0.6185,0.29297,0.99724,0.92735,0.93694,0.97831,0.64541,1.21901,0.55217,1.553,5.96e-05,5.96e-05,5.96e-05
100,7626.2,0.62303,0.29202,0.99206,0.92102,0.94553,0.97893,0.64577,1.21952,0.55751,1.5531,3.98e-05,3.98e-05,3.98e-05
