epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,673.92,1.24183,0.71711,1.41439,0.9639,0.96396,0.9833,0.59923,1.35192,0.73482,1.42599,0.000644551,0.000644551,0.000644551
63,684.015,1.23302,0.71145,1.32125,0.96235,0.97297,0.98499,0.52616,1.57366,0.69969,1.56811,0.000634496,0.000634496,0.000634496
64,694.905,1.2565,0.7078,1.39392,0.93163,0.98215,0.98116,0.6065,1.3341,0.60301,1.40573,0.000624383,0.000624383,0.000624383
65,705.812,1.23379,0.729,1.37678,0.9679,0.93694,0.98245,0.58296,1.43996,0.55947,1.4702,0.000614214,0.000614214,0.000614214
66,716.667,1.22288,0.67753,1.31594,0.95339,0.95495,0.98163,0.61295,1.32248,0.63336,1.38373,0.000603995,0.000603995,0.000603995
67,727.276,1.22142,0.68244,1.35076,0.97209,0.95495,0.97836,0.6025,1.37196,0.52469,1.41035,0.000593731,0.000593731,0.000593731
68,737.958,1.23959,0.69523,1.30456,0.95024,0.97297,0.98121,0.57518,1.40099,0.54074,1.42373,0.000583426,0.000583426,0.000583426
69,749.302,1.27116,0.73022,1.3931,0.95084,0.97297,0.97358,0.54589,1.48629,0.58657,1.49651,0.000573084,0.000573084,0.000573084
70,760.893,1.22826,0.73151,1.38349,0.91656,1,0.97892,0.59906,1.34666,0.54106,1.40461,0.00056271,0.00056271,0.00056271
71,772.145,1.25002,0.70984,1.37708,0.94057,0.98198,0.98813,0.55507,1.47758,0.57011,1.4773,0.000552309,0.000552309,0.000552309
72,783.18,1.20581,0.69848,1.32837,0.93895,0.98198,0.98383,0.65062,1.2324,0.62813,1.33988,0.000541885,0.000541885,0.000541885
73,794.384,1.21624,0.7458,1.37865,0.96126,0.96396,0.98235,0.60654,1.32425,0.59063,1.38572,0.000531442,0.000531442,0.000531442
74,805.611,1.15365,0.69656,1.30544,0.94546,0.93697,0.97847,0.60819,1.29158,0.57437,1.372,0.000520986,0.000520986,0.000520986
75,816.749,1.19305,0.70089,1.37421,0.94326,0.96396,0.97762,0.60244,1.3095,0.62408,1.3792,0.00051052,0.00051052,0.00051052
76,827.682,1.13658,0.68359,1.29157,0.93672,0.98198,0.9819,0.60394,1.32404,0.52899,1.39629,0.00050005,0.00050005,0.00050005
77,839.129,1.20257,0.70662,1.41635,0.93264,0.98198,0.98248,0.62533,1.24731,0.52727,1.37773,0.00048958,0.00048958,0.00048958
78,850.699,1.1593,0.65776,1.34194,0.92404,0.9863,0.98463,0.61515,1.29981,0.6464,1.38408,0.000479114,0.000479114,0.000479114
79,862.542,1.16465,0.67607,1.30441,0.93526,0.96396,0.97832,0.64446,1.18202,0.62834,1.31073,0.000468658,0.000468658,0.000468658
80,874.522,1.23359,0.6792,1.37818,0.93691,0.9365,0.96281,0.60541,1.25577,0.69666,1.36427,0.000458215,0.000458215,0.000458215
81,885.883,1.22863,0.69309,1.36916,0.94142,0.91892,0.954,0.51564,1.58507,0.72063,1.5936,0.000447791,0.000447791,0.000447791
82,897.381,1.13375,0.68056,1.32054,0.95866,0.90991,0.9532,0.62029,1.20755,0.68583,1.33982,0.00043739,0.00043739,0.00043739
83,908.703,1.19032,0.68637,1.31789,0.92045,0.94595,0.95882,0.58899,1.33761,0.56692,1.38693,0.000427016,0.000427016,0.000427016
84,919.988,1.19482,0.65516,1.3435,0.93052,0.96518,0.97918,0.54338,1.5622,0.54186,1.53209,0.000416674,0.000416674,0.000416674
85,931.994,1.20277,0.69917,1.36695,0.94704,0.96652,0.97702,0.58395,1.406,0.54149,1.43257,0.000406369,0.000406369,0.000406369
86,943.54,1.23759,0.7105,1.34962,0.93922,0.99099,0.98744,0.58876,1.39378,0.49466,1.40203,0.000396105,0.000396105,0.000396105
87,955.167,1.19877,0.7011,1.34197,0.95477,0.95495,0.98076,0.59249,1.3718,0.49021,1.3891,0.000385886,0.000385886,0.000385886
88,966.163,1.14954,0.66933,1.28858,0.95881,0.95495,0.98135,0.64076,1.20715,0.48288,1.30779,0.000375717,0.000375717,0.000375717
89,977.462,1.14102,0.62371,1.26484,0.9681,0.93694,0.97044,0.60679,1.29653,0.49738,1.36221,0.000365604,0.000365604,0.000365604
90,989.143,1.19739,0.62331,1.3649,0.95271,0.94595,0.96436,0.61175,1.26744,0.48243,1.36867,0.000355549,0.000355549,0.000355549
91,1000.68,1.12346,0.61119,1.27233,0.97195,0.93663,0.97758,0.66172,1.14767,0.53389,1.31943,0.000345557,0.000345557,0.000345557
92,1012.07,1.13909,0.65251,1.31975,0.97115,0.94595,0.98219,0.62164,1.2709,0.60572,1.36351,0.000335633,0.000335633,0.000335633
93,1023.72,1.1266,0.66041,1.34644,0.97403,0.94595,0.978,0.62308,1.26815,0.55003,1.36279,0.000325781,0.000325781,0.000325781
94,1034.48,1.16594,0.64461,1.31279,0.97484,0.94595,0.98116,0.65436,1.20222,0.64472,1.33812,0.000316006,0.000316006,0.000316006
95,1045.6,1.15607,0.66559,1.31138,0.96931,0.94595,0.98558,0.65072,1.20846,0.62769,1.32472,0.000306312,0.000306312,0.000306312
96,1057.06,1.10382,0.62101,1.30355,0.9677,0.94595,0.98125,0.62783,1.27987,0.61935,1.36906,0.000296702,0.000296702,0.000296702
97,1068.61,1.18384,0.65966,1.34678,0.94934,0.96396,0.98019,0.64155,1.22591,0.60117,1.3381,0.000287182,0.000287182,0.000287182
98,1079.73,1.09451,0.59897,1.27136,0.94948,0.92793,0.97419,0.64882,1.19186,0.60819,1.33198,0.000277755,0.000277755,0.000277755
99,1091.22,1.15547,0.63533,1.30142,0.94391,0.96396,0.98249,0.62191,1.2708,0.62027,1.36656,0.000268425,0.000268425,0.000268425
100,1102.97,1.17843,0.62431,1.32987,0.94117,0.96396,0.98159,0.64273,1.19644,0.6412,1.3223,0.000259197,0.000259197,0.000259197
101,1114.39,1.13228,0.62665,1.27119,0.93704,0.95495,0.98214,0.67633,1.08366,0.62867,1.27018,0.000250075,0.000250075,0.000250075
102,1125.14,1.1424,0.59994,1.22902,0.93147,0.94595,0.98382,0.65867,1.17176,0.62608,1.32011,0.000241062,0.000241062,0.000241062
103,1136.47,1.119,0.5922,1.25467,0.94602,0.9474,0.9828,0.61524,1.28839,0.63122,1.38319,0.000232163,0.000232163,0.000232163
104,1148.26,1.12253,0.59778,1.29261,0.94588,0.9447,0.97871,0.63942,1.20315,0.62721,1.32975,0.000223382,0.000223382,0.000223382
105,1159.49,1.09624,0.57233,1.27079,0.94574,0.94595,0.97064,0.64824,1.16769,0.56243,1.3184,0.000214722,0.000214722,0.000214722
106,1171.59,1.07266,0.5829,1.28074,0.94909,0.95495,0.97268,0.63549,1.22568,0.53251,1.33649,0.000206187,0.000206187,0.000206187
107,1182.79,1.0884,0.59214,1.28783,0.9487,0.95495,0.98582,0.64461,1.22918,0.57785,1.33845,0.000197781,0.000197781,0.000197781
108,1194.22,1.06734,0.56346,1.24594,0.96281,0.93288,0.97637,0.64407,1.21296,0.69161,1.33823,0.000189507,0.000189507,0.000189507
109,1205.22,1.11687,0.60973,1.25511,0.96748,0.91892,0.96996,0.64155,1.20229,0.67384,1.33738,0.00018137,0.00018137,0.00018137
110,1217.84,1.0783,0.55877,1.25799,0.97139,0.91758,0.96001,0.63155,1.20965,0.64578,1.33535,0.000173372,0.000173372,0.000173372
111,1230,1.07113,0.58677,1.26344,0.95358,0.92537,0.96494,0.60469,1.29608,0.61033,1.38392,0.000165518,0.000165518,0.000165518
112,1240.08,1.10028,0.57146,1.27308,0.93764,0.93694,0.966,0.63168,1.22512,0.59502,1.34209,0.000157811,0.000157811,0.000157811
113,1249.8,1.09813,0.57919,1.27708,0.95621,0.93694,0.96638,0.64307,1.1901,0.62739,1.33224,0.000150253,0.000150253,0.000150253
114,1259.55,1.08343,0.58052,1.27995,0.95449,0.9448,0.96649,0.62534,1.22105,0.58641,1.34399,0.000142849,0.000142849,0.000142849
115,1269.63,1.08096,0.58226,1.24261,0.9549,0.9538,0.96712,0.63928,1.20085,0.52572,1.33513,0.000135602,0.000135602,0.000135602
116,1279.5,1.08459,0.56289,1.21842,0.97893,0.92793,0.97525,0.65496,1.17199,0.56284,1.32489,0.000128515,0.000128515,0.000128515
117,1288.94,1.07218,0.57993,1.24513,0.95461,0.94737,0.97505,0.65819,1.13946,0.63697,1.30619,0.00012159,0.00012159,0.00012159
118,1298.75,1.07801,0.56991,1.27068,0.97271,0.91892,0.97144,0.64168,1.17237,0.67399,1.32086,0.000114832,0.000114832,0.000114832
119,1308.72,1.05638,0.56061,1.25111,0.97708,0.91892,0.97192,0.64077,1.19596,0.65419,1.33381,0.000108242,0.000108242,0.000108242
120,1318.39,1.068,0.5789,1.22946,0.95049,0.92793,0.96372,0.6383,1.19232,0.63516,1.33427,0.000101825,0.000101825,0.000101825
121,1327.29,1.02806,0.54924,1.17367,0.96754,0.91892,0.9627,0.65939,1.13839,0.64058,1.31277,9.5582e-05,9.5582e-05,9.5582e-05
122,1336.57,1.0245,0.55058,1.20126,0.98072,0.91631,0.96058,0.66078,1.1218,0.61462,1.30028,8.95165e-05,8.95165e-05,8.95165e-05
123,1345.85,1.0357,0.55107,1.23063,0.97184,0.90991,0.95597,0.64592,1.15241,0.58402,1.30773,8.3631e-05,8.3631e-05,8.3631e-05
124,1355.65,1.07548,0.58427,1.26781,0.98069,0.915,0.95666,0.6485,1.16476,0.5689,1.31004,7.79283e-05,7.79283e-05,7.79283e-05
125,1365.17,1.01922,0.55382,1.2385,0.98075,0.91789,0.95255,0.65007,1.14501,0.58547,1.30548,7.24106e-05,7.24106e-05,7.24106e-05
126,1375.22,1.04089,0.53548,1.27202,0.98089,0.92483,0.95273,0.65582,1.11209,0.55427,1.29579,6.70806e-05,6.70806e-05,6.70806e-05
127,1384.31,1.03787,0.53673,1.20834,0.97773,0.92793,0.9616,0.66169,1.11917,0.56532,1.30423,6.19405e-05,6.19405e-05,6.19405e-05
128,1393.75,1.04705,0.54534,1.21345,0.97888,0.92793,0.9706,0.66517,1.13342,0.56752,1.30428,5.69925e-05,5.69925e-05,5.69925e-05
129,1403.54,1.0513,0.56922,1.23949,0.97161,0.92512,0.97053,0.66936,1.11895,0.55366,1.29213,5.22389e-05,5.22389e-05,5.22389e-05
130,1412.76,1.08564,0.58824,1.26479,0.97986,0.91892,0.97534,0.67036,1.11011,0.5827,1.28921,4.76817e-05,4.76817e-05,4.76817e-05
131,1422.36,1.04648,0.55743,1.23649,0.96275,0.93127,0.9792,0.67543,1.116,0.62527,1.29302,4.33229e-05,4.33229e-05,4.33229e-05
132,1432.49,1.07052,0.54223,1.22616,0.97943,0.91892,0.97057,0.66667,1.12444,0.64352,1.2975,3.91645e-05,3.91645e-05,3.91645e-05
133,1443.01,1.01034,0.60799,1.22326,0.95426,0.93983,0.97138,0.66404,1.12195,0.66784,1.29231,3.52082e-05,3.52082e-05,3.52082e-05
134,1452.92,1.06344,0.58719,1.24783,0.96294,0.93645,0.97195,0.66191,1.13517,0.68548,1.29776,3.14559e-05,3.14559e-05,3.14559e-05
135,1463.22,1.08215,0.59813,1.27559,0.95127,0.94595,0.97154,0.66539,1.12865,0.65308,1.29268,2.7909e-05,2.7909e-05,2.7909e-05
136,1473.43,1.04017,0.55023,1.2793,0.95127,0.94595,0.97125,0.67238,1.10874,0.63994,1.28326,2.45693e-05,2.45693e-05,2.45693e-05
137,1482.95,1.02033,0.56533,1.22783,0.97657,0.91892,0.97141,0.67037,1.10291,0.63027,1.28255,2.14381e-05,2.14381e-05,2.14381e-05
138,1493.19,1.03078,0.52874,1.26596,0.97234,0.90991,0.96711,0.66838,1.11276,0.61694,1.29014,1.85169e-05,1.85169e-05,1.85169e-05
139,1503.46,1.0564,0.58973,1.26794,0.97179,0.90991,0.97081,0.66895,1.11968,0.6141,1.29603,1.58068e-05,1.58068e-05,1.58068e-05
140,1513.11,1.00215,0.55017,1.19749,0.97649,0.91892,0.97127,0.66325,1.13567,0.64262,1.30349,1.33092e-05,1.33092e-05,1.33092e-05
141,1523.79,1.00076,0.45977,1.32288,0.95473,0.94595,0.97281,0.67296,1.11699,0.59836,1.29228,1.10251e-05,1.10251e-05,1.10251e-05
142,1532.54,0.95631,0.45937,1.22282,0.96312,0.94102,0.96714,0.67161,1.11455,0.6185,1.29353,8.95549e-06,8.95549e-06,8.95549e-06
143,1542.22,1.02115,0.47234,1.31544,0.96329,0.94566,0.96735,0.67088,1.11381,0.5988,1.2934,7.10128e-06,7.10128e-06,7.10128e-06
144,1551.72,0.99275,0.44313,1.27258,0.95937,0.93694,0.96758,0.67486,1.10923,0.60912,1.29249,5.4633e-06,5.4633e-06,5.4633e-06
145,1561.5,0.98137,0.42994,1.3329,0.9581,0.93694,0.96731,0.67465,1.10623,0.60741,1.2894,4.04226e-06,4.04226e-06,4.04226e-06
146,1570.53,0.93508,0.41994,1.16545,0.93087,0.95495,0.97125,0.67926,1.10857,0.63548,1.28965,2.83878e-06,2.83878e-06,2.83878e-06
147,1580.4,0.95904,0.43023,1.28508,0.96321,0.94355,0.9675,0.6783,1.10171,0.59575,1.28581,1.8534e-06,1.8534e-06,1.8534e-06
148,1589.4,0.98501,0.43315,1.27964,0.96325,0.94448,0.96734,0.67457,1.1023,0.58469,1.28509,1.08654e-06,1.08654e-06,1.08654e-06
149,1598.42,0.98332,0.43624,1.25623,0.9584,0.93694,0.96674,0.67924,1.09253,0.59473,1.28182,5.38541e-07,5.38541e-07,5.38541e-07
150,1608.24,0.98628,0.43206,1.29473,0.96116,0.93694,0.97131,0.68028,1.09707,0.59136,1.2834,2.09647e-07,2.09647e-07,2.09647e-07
